cluster_id,text,suggested_label,target,reason,self_consistency,fact_match,misweighted,hallucinated_context
ef26aaaaef77_s006,User BKR3146 logged on between hour 7 and hour 8 across 5 days with recorded activity on 1 workstation during week 2010-W33.,Grounded,1.0,"All numerical statements in the sentence match the provided context facts (earliest logon hour 7, latest logon hour 8, 5 days with recorded activity, and 1 workstation used) without invalid causal claims.",0.3,1.0,0.0,0.0
c00f5367cb9e_s007,"Because user BLB1876 maintained typical file activity with 43 file operations during week 2010-W37, the elevation in web requests by user BLB1876 appears minor.",Not Grounded,0.0,"The sentence introduces ungrounded context (user ID BLB1876, week 2010-W37, characterization of 43 file operations as 'typical') and makes an unsubstantiated causal/evaluative claim linking file operations to the severity/significance of web requests.",0.1,1.0,1.0,1.0
303f37e93c18_s008,"While 8 visits to job-search sites is above the baseline for AZG2343, 8 visits to job-search sites represents a modest total volume of browsing activity by AZG2343.",Grounded,1.0,The sentence accurately cites the 8 visits to job-search sites matching evidence fact F001 and contains no hallucinated numbers or invalid causal claims.,0.2,1.0,0.0,1.0
52f540dd30c2_s006,This volume of 47 job-search site visits by user ALD3508 also heavily exceeds the peer typical level of 4.50 visits among 86 peers in the Physicist role.,Not Grounded,0.0,"The sentence mentions a peer typical level of 4.50 visits among 86 peers in the Physicist role, which is not supported by the provided facts.",0.3,0.8,0.0,1.0
01b9f3aa120d_s003,"ARG0441 showed completely typical activity across other categories during week 2010-W12, recording 570 web requests, 8 logon events, and 0 removable device connections.",Grounded,1.0,"All numerical values mentioned in the sentence (570 web requests, 8 logon events, and 0 removable device connections) accurately match the provided facts, and no unsupported causal claims are made.",0.8,1.0,0.0,1.0
2295b9e281fa_s011,"In week 2010-W38, CCH1724 generated an anomaly for job-search browsing after accumulating 36 visits to job-search sites compared to a recent typical baseline of 0 visits for CCH1724.",Not Grounded,0.0,"The sentence claims a recent typical baseline of 0 visits for CCH1724, which is not present in the provided evidence or context facts.",1.0,1.0,0.0,1.0
18e17c90ab42_s012,"While CKB3745 showed elevated browsing with 11 visits to job-search sites, CKB3745 engaged in 0 visits to leak-publication sites.",Grounded,1.0,The sentence accurately reflects the numerical values of 11 visits to job-search sites (F001) and 0 visits to leak-publication sites (F002) without making any unsupported causal claims.,0.1,0.6666666666666666,1.0,0.0
2621089240eb_s010,"Given that user APS1968 exceeded the personal web baseline by only 100 requests with no secondary anomalies, the evidence of suspicious behavior by user APS1968 is very thin.",Not Grounded,0.0,"The statement claims the user exceeded the personal web baseline by 100 requests, but neither a baseline nor the value 100 is present in the provided facts.",0.7,0.4,0.0,1.0
51cb80a1b8e9_s009,ABK3081 conducted only 1 file operation and 0 removable device connections while logging on 12 times from 1 distinct workstation.,Grounded,1.0,All numbers and descriptions mentioned in the sentence perfectly match the provided facts without any causal misattributions.,0.1,0.8333333333333334,1.0,0.0
a8731de3ad68_s010,"Because the 570 web requests by CJC1433 represents only a slight elevation over baseline numbers and occurred over 6 active days, the risk indicated by CJC1433's activity is minimal.",Grounded,1.0,"The sentence correctly mentions 570 web requests and 6 active days, matching the evidence and context facts, with no unsupported causal claims.",0.2,1.0,1.0,1.0
0bf006af4291_s010,"DAR0709 conducted 22 visits to cloud-storage sites during week 2011-W17, matching the user's expected baseline of 24 visits despite peer typical usage being 1 visit.",Not Grounded,0.0,"The sentence introduces ungrounded numbers, claiming an expected baseline of 24 visits and peer typical usage of 1 visit, neither of which are supported by the provided facts.",0.1,1.0,1.0,1.0
cc7eb1960671_s003,CBM1814 visited 0 leak-publication sites and visited 97 distinct web domains during week 2011-W01.,Grounded,1.0,"The sentence accurately states the 0 visits to leak-publication sites and 97 distinct web domains visited, directly matching facts F002 and F004.",0.6,1.0,1.0,0.0
d8e684f7fd77_s002,The 23 job-search site visits by ACV1946 exceed the recent typical baseline for ACV1946 of 9 visits and far exceed the peer typical value of 1 visit across 85 peers in the same role.,Not Grounded,0.0,"The sentence mentions baseline values (9 visits), peer values (1 visit), and peer counts (85 peers) which are not present in the provided facts.",0.9,1.0,0.0,1.0
60ef829f6ef8_s004,User BXT2678 triggered rule R4 during week 2010-W37 by recording 15 visits to job-search sites.,Grounded,1.0,"The numeric claim of 15 visits to job-search sites precisely matches evidence fact F001, and no contextual facts are incorrectly cited as causal triggers.",0.2,1.0,0.0,0.0
