cluster_id,signal_id,user,period,malicious,rules,n_samples,n_variants,representative_text,evidence_facts,context_facts,suggested_label,suggested_rationale,suggestion_conflict,label,notes
06ffa8b234ef_s001,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",6,6,The UEBA system flagged Pamela Julie Case (PJC1252) for the week of 2010-W12 due to evidence from two triggered rules.,F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,Resolved after initial pass to close a slice-boundary gap in review.
06ffa8b234ef_s002,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",6,6,"The most significant evidence is the elevated number of files copied to removable media (15), which is clearly above her usual range and suggests a potential data exfiltration attempt.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,misweighted,Main clause asserts evidence fact (F001) and all numbers trace to facts[]. Rule 1 fired.,,grounded,
06ffa8b234ef_s003,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",5,5,"Additionally, the unusual browsing to job-search sites (12) is far above her typical activity and exceeds the average among peers in her role.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
06ffa8b234ef_s004,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",4,4,"Rule R2 was triggered due to an elevated number of files copied to removable media, with 15 files copied, which is clearly above their usual range of 1.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,Main clause asserts evidence fact (F001) and all numbers trace to facts[]. Rule 1 fired.,,grounded,
06ffa8b234ef_s007,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",3,3,"PJC1252, a software developer, has been flagged for an unusual week.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
06ffa8b234ef_s009,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",2,2,"The second anomaly is an atypical number of visits to job-search or leak-publication sites, with 12 visits, which is far above their typical range of 0 and above the peer range of 1 across 85 peers in the same role.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
06ffa8b234ef_s005,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,2,This suggests that Pamela may be preparing or sharing materials outside of her typical workflow.,F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,unverifiable,Sentence contains speculative/hedge language ('may be'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
06ffa8b234ef_s006,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,1,"Rule R4 was also triggered due to an atypical number of visits to job-search or leak-publication sites, with 12 visits, which is far above the range of 0 typical for her role.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
06ffa8b234ef_s008,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,1,"This suggests that PJC1252 may be transferring data to an external device, which is unusual for their role as a Software Developer.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,unverifiable,Sentence contains speculative/hedge language ('may be'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
06ffa8b234ef_s010,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,1,This could indicate that PJC1252 is searching for a new job or considering sharing sensitive information.,F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,unverifiable,Sentence contains speculative/hedge language ('could indicate'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
