cluster_id,label
00ac99b2eb5d_s002,grounded
00ac99b2eb5d_s004,grounded
00ac99b2eb5d_s001,grounded
00ac99b2eb5d_s003,unverifiable
00ac99b2eb5d_s005,grounded
00ac99b2eb5d_s006,unverifiable
00ac99b2eb5d_s007,unverifiable
00ac99b2eb5d_s008,grounded
02f577d6faa3_s004,grounded
02f577d6faa3_s003,grounded
02f577d6faa3_s001,grounded
02f577d6faa3_s005,unverifiable
02f577d6faa3_s006,grounded
02f577d6faa3_s002,grounded
02f577d6faa3_s007,unverifiable
0abf822e321c_s005,grounded
0abf822e321c_s002,grounded
0abf822e321c_s006,grounded
0abf822e321c_s001,grounded
0abf822e321c_s003,unverifiable
0abf822e321c_s004,grounded
0abf822e321c_s007,unverifiable
0ecd25b6094c_s003,grounded
0ecd25b6094c_s008,grounded
0ecd25b6094c_s005,grounded
0ecd25b6094c_s009,unverifiable
0ecd25b6094c_s011,grounded
0ecd25b6094c_s001,grounded
0ecd25b6094c_s002,grounded
0ecd25b6094c_s004,unverifiable
0ecd25b6094c_s006,grounded
0ecd25b6094c_s007,grounded
0ecd25b6094c_s010,grounded
0ecd25b6094c_s012,unverifiable
0ecd25b6094c_s013,grounded
1066eacc8d35_s002,grounded
1066eacc8d35_s004,grounded
1066eacc8d35_s003,grounded
1066eacc8d35_s001,grounded
1066eacc8d35_s005,unverifiable
1066eacc8d35_s006,unverifiable
1066eacc8d35_s007,unverifiable
117f7000f63c_s003,grounded
117f7000f63c_s001,grounded
117f7000f63c_s011,grounded
117f7000f63c_s006,grounded
117f7000f63c_s007,grounded
117f7000f63c_s009,grounded
117f7000f63c_s010,unverifiable
117f7000f63c_s012,grounded
117f7000f63c_s002,grounded
117f7000f63c_s004,unverifiable
117f7000f63c_s005,grounded
117f7000f63c_s008,grounded
1a55477e73f1_s002,grounded
1a55477e73f1_s001,grounded
1a55477e73f1_s003,unverifiable
1a55477e73f1_s004,grounded
1a55477e73f1_s005,grounded
1df2bcb7f157_s002,grounded
1df2bcb7f157_s004,grounded
1df2bcb7f157_s003,unverifiable
1df2bcb7f157_s006,grounded
1df2bcb7f157_s001,grounded
1df2bcb7f157_s005,unverifiable
1df2bcb7f157_s007,grounded
1df2bcb7f157_s008,grounded
1df2bcb7f157_s009,unverifiable
1df2bcb7f157_s010,grounded
38aa3d771816_s007,grounded
38aa3d771816_s006,grounded
38aa3d771816_s001,grounded
38aa3d771816_s002,grounded
38aa3d771816_s004,grounded
38aa3d771816_s008,grounded
38aa3d771816_s009,unverifiable
38aa3d771816_s003,unverifiable
38aa3d771816_s005,grounded
44162398d129_s005,grounded
44162398d129_s004,grounded
44162398d129_s008,grounded
44162398d129_s001,grounded
44162398d129_s003,grounded
44162398d129_s009,grounded
44162398d129_s010,grounded
44162398d129_s002,grounded
44162398d129_s006,grounded
44162398d129_s007,unverifiable
44162398d129_s011,unverifiable
44162398d129_s012,unverifiable
44162398d129_s013,grounded
44162398d129_s014,grounded
44162398d129_s015,grounded
46d1c032687e_s001,grounded
46d1c032687e_s005,grounded
46d1c032687e_s002,unverifiable
46d1c032687e_s004,grounded
46d1c032687e_s003,unverifiable
48ccda2c802b_s002,grounded
48ccda2c802b_s001,grounded
48ccda2c802b_s003,grounded
48ccda2c802b_s005,unverifiable
48ccda2c802b_s009,grounded
48ccda2c802b_s004,grounded
